Account,Date,Time,Type,Transaction ID,Receipt Number,Payment Method,Quantity,Description,Currency,Price (Gross),Price (Net),Tax,Tax rate,Transaction refunded
generic.email@example.com,2023-07-07,12:06,Sales,TSQRY7EXN,S202354464139,Mobile,1,Product D,EUR,5.93,5.93,0.0,0%,
generic.email@example.com,2023-07-07,12:19,Sales,THYW8G2EG,S202361464478,Mobile,1,Product B,EUR,4.87,4.87,0.0,0%,
generic.email@example.com,2023-07-07,12:30,Sales,TANZE900C,S202302908562,Card,2,Product A,EUR,1.58,1.58,0.0,0%,
generic.email@example.com,2023-07-07,12:39,Sales,T1PBYWUTB,S202390464817,Cash,3,Product C,EUR,4.35,4.35,0.0,0%,
generic.email@example.com,2023-07-07,13:19,Sales,TQZ9WAHQE,S202384191399,Card,3,Product C,EUR,4.92,4.92,0.0,0%,
generic.email@example.com,2023-07-07,13:55,Sales,TN0KV40WD,S202386955767,Cash,2,Product A,EUR,9.51,9.51,0.0,0%,
generic.email@example.com,2023-07-07,14:46,Sales,TENPKVPYB,S202341664527,Cash,2,Product D,EUR,4.1,4.1,0.0,0%,
generic.email@example.com,2023-07-07,15:34,Sales,T7BAL8TWR,S202336366692,Mobile,1,Product B,EUR,9.93,9.93,0.0,0%,
generic.email@example.com,2023-07-07,16:25,Sales,TBJVVH5IY,S202334354249,Mobile,3,Product A,EUR,8.74,8.74,0.0,0%,
generic.email@example.com,2023-07-07,16:56,Sales,TUBF8VCLT,S202315311567,Card,2,Product D,EUR,0.72,0.72,0.0,0%,
generic.email@example.com,2023-07-07,17:46,Sales,TSZHX3NXY,S202360013359,Card,2,Product A,EUR,4.52,4.52,0.0,0%,
generic.email@example.com,2023-07-07,17:59,Sales,TRGJ6IHWQ,S202333731284,Cash,1,Product A,EUR,6.69,6.69,0.0,0%,
generic.email@example.com,2023-07-07,18:23,Sales,T1BMGSGU7,S202385966135,Mobile,3,Product B,EUR,8.38,8.38,0.0,0%,
generic.email@example.com,2023-07-08,11:33,Sales,TZAPQXNDL,S202328811399,Cash,2,Product A,EUR,6.75,6.75,0.0,0%,
generic.email@example.com,2023-07-08,12:21,Sales,TG4X4XT86,S202361164501,Cash,3,Product D,EUR,3.07,3.07,0.0,0%,
generic.email@example.com,2023-07-08,13:00,Sales,TITKRMAL4,S202396869500,Cash,3,Product B,EUR,9.85,9.85,0.0,0%,
generic.email@example.com,2023-07-08,13:15,Sales,TTQORBRJN,S202391903247,Card,3,Product C,EUR,8.52,8.52,0.0,0%,
generic.email@example.com,2023-07-08,13:37,Sales,TQRJPV61K,S202308777231,Mobile,2,Product D,EUR,7.29,7.29,0.0,0%,
generic.email@example.com,2023-07-08,14:12,Sales,T04XPORR0,S202356672995,Mobile,1,Product A,EUR,9.51,9.51,0.0,0%,
generic.email@example.com,2023-07-08,14:22,Sales,TVHRLVF3F,S202300265113,Mobile,1,Product A,EUR,3.05,3.05,0.0,0%,
generic.email@example.com,2023-07-08,15:27,Sales,TQJZ7XYUQ,S202338185634,Mobile,1,Product A,EUR,6.27,6.27,0.0,0%,
generic.email@example.com,2023-07-08,16:16,Sales,T9W6ED3LV,S202374321606,Mobile,2,Product C,EUR,0.8,0.8,0.0,0%,
generic.email@example.com,2023-07-08,16:30,Sales,TTCFQELLH,S202325663768,Cash,1,Product C,EUR,9.54,9.54,0.0,0%,
generic.email@example.com,2023-07-08,17:32,Sales,T50EMWXQU,S202326927200,Card,3,Product D,EUR,6.23,6.23,0.0,0%,
generic.email@example.com,2023-07-08,17:43,Sales,TSDL688R3,S202361608248,Cash,1,Product B,EUR,3.66,3.66,0.0,0%,
generic.email@example.com,2023-07-08,18:04,Sales,TRS7TWRXV,S202386464320,Cash,3,Product A,EUR,6.02,6.02,0.0,0%,
generic.email@example.com,2023-07-08,18:52,Sales,TG9HEJ7W5,S202331578461,Card,3,Product A,EUR,7.3,7.3,0.0,0%,
generic.email@example.com,2023-07-08,19:05,Sales,TR2OGE8M2,S202384683467,Mobile,3,Product A,EUR,2.31,2.31,0.0,0%,
generic.email@example.com,2023-07-08,19:29,Sales,TW6EHYAI4,S202351927707,Cash,2,Product C,EUR,7.53,7.53,0.0,0%,
generic.email@example.com,2023-07-08,19:47,Sales,TQ6QMLST0,S202339213293,Card,3,Product C,EUR,0.87,0.87,0.0,0%,
generic.email@example.com,2023-07-09,11:39,Sales,TSKZDSMEY,S202323388819,Cash,2,Product B,EUR,1.08,1.08,0.0,0%,
generic.email@example.com,2023-07-09,12:03,Sales,TDGQNN64Y,S202362179924,Cash,3,Product B,EUR,8.01,8.01,0.0,0%,
generic.email@example.com,2023-07-09,12:09,Sales,TV6FG68ZG,S202360161082,Card,3,Product B,EUR,2.82,2.82,0.0,0%,
generic.email@example.com,2023-07-09,12:53,Sales,TS7AZ6KCE,S202369266321,Cash,3,Product B,EUR,1.04,1.04,0.0,0%,
generic.email@example.com,2023-07-09,13:19,Sales,T09T39KAV,S202306191880,Mobile,2,Product B,EUR,8.95,8.95,0.0,0%,
generic.email@example.com,2023-07-09,14:30,Sales,TBW7W5RTY,S202344734490,Mobile,2,Product A,EUR,2.12,2.12,0.0,0%,
generic.email@example.com,2023-07-09,14:34,Sales,TVGGF6JTL,S202377192102,Cash,1,Product A,EUR,7.17,7.17,0.0,0%,
generic.email@example.com,2023-07-09,15:16,Sales,TKZM4VWRS,S202327125363,Card,3,Product B,EUR,1.7,1.7,0.0,0%,
generic.email@example.com,2023-07-09,15:57,Sales,THE770E6K,S202347157972,Card,1,Product A,EUR,4.28,4.28,0.0,0%,
generic.email@example.com,2023-07-09,17:47,Sales,T1FLV7005,S202309088118,Cash,3,Product D,EUR,3.03,3.03,0.0,0%,
generic.email@example.com,2023-07-09,17:53,Sales,TMEF0U9SB,S202309091897,Cash,3,Product A,EUR,3.35,3.35,0.0,0%,
generic.email@example.com,2023-07-09,17:59,Sales,TWENOGFA5,S202335098351,Card,2,Product B,EUR,6.28,6.28,0.0,0%,
generic.email@example.com,2023-07-09,18:19,Sales,T5FQ43P9J,S202378282486,Cash,3,Product B,EUR,5.26,5.26,0.0,0%,
generic.email@example.com,2023-07-09,19:12,Sales,TZY2CHC3P,S202305735826,Cash,1,Product D,EUR,6.94,6.94,0.0,0%,
generic.email@example.com,2023-07-09,19:49,Sales,TW5STMMEA,S202377493380,Mobile,2,Product A,EUR,3.27,3.27,0.0,0%,
generic.email@example.com,2023-07-10,11:47,Sales,TX4ZUJFW6,S202377830489,Card,1,Product C,EUR,5.14,5.14,0.0,0%,
generic.email@example.com,2023-07-10,13:21,Sales,T1XJDVM0W,S202340661463,Card,2,Product A,EUR,4.86,4.86,0.0,0%,
generic.email@example.com,2023-07-10,13:54,Sales,T7B0QK0OC,S202350532073,Card,2,Product B,EUR,9.69,9.69,0.0,0%,
generic.email@example.com,2023-07-10,14:01,Sales,T6SM2Z1U6,S202345604880,Mobile,1,Product A,EUR,5.17,5.17,0.0,0%,
generic.email@example.com,2023-07-10,14:44,Sales,T8N9DV5YZ,S202326115605,Card,3,Product D,EUR,1.5,1.5,0.0,0%,
generic.email@example.com,2023-07-10,14:53,Sales,TJVE89FIS,S202387149088,Cash,2,Product A,EUR,7.28,7.28,0.0,0%,
generic.email@example.com,2023-07-10,15:20,Sales,T0DN59IM8,S202347874721,Mobile,1,Product A,EUR,5.56,5.56,0.0,0%,
generic.email@example.com,2023-07-10,16:51,Sales,TYZ5162EW,S202334046244,Mobile,1,Product D,EUR,1.8,1.8,0.0,0%,
generic.email@example.com,2023-07-10,16:51,Sales,TTAWOW0BF,S202342745354,Cash,3,Product D,EUR,1.8,1.8,0.0,0%,
generic.email@example.com,2023-07-10,17:00,Sales,TFFUGPDC6,S202329872151,Cash,3,Product B,EUR,3.17,3.17,0.0,0%,
