Account,Date,Time,Type,Transaction ID,Receipt Number,Payment Method,Quantity,Description,Currency,Price (Gross),Price (Net),Tax,Tax rate,Transaction refunded
generic.email@example.com,2022-06-08,14:55,Sales,TEZGNTFI4,S202308255703,Card,2,Product B,EUR,1.68,1.68,0.0,0%,
generic.email@example.com,2022-06-08,19:11,Sales,T1FEULVO4,S202381330334,Card,1,Product B,EUR,6.6,6.6,0.0,0%,
generic.email@example.com,2022-06-09,11:17,Sales,TTXGUN73Q,S202341057760,Cash,2,Product C,EUR,0.62,0.62,0.0,0%,
generic.email@example.com,2022-06-09,12:06,Sales,T23XETGO2,S202382693708,Card,2,Product A,EUR,4.84,4.84,0.0,0%,
generic.email@example.com,2022-06-09,13:13,Sales,T5SAW51J0,S202306931980,Card,1,Product A,EUR,5.79,5.79,0.0,0%,
generic.email@example.com,2022-06-09,13:49,Sales,T21SFQLML,S202396457081,Mobile,1,Product C,EUR,4.2,4.2,0.0,0%,
generic.email@example.com,2022-06-09,15:13,Sales,T8NS0BTQD,S202383980347,Card,3,Product D,EUR,0.82,0.82,0.0,0%,
generic.email@example.com,2022-06-09,15:40,Sales,TU289JNBT,S202357010171,Cash,1,Product C,EUR,0.51,0.51,0.0,0%,
generic.email@example.com,2022-06-09,16:15,Sales,TTRTGDGPP,S202318559249,Mobile,2,Product D,EUR,7.56,7.56,0.0,0%,
generic.email@example.com,2022-06-09,18:53,Sales,T97DTG623,S202391359257,Cash,1,Product A,EUR,3.9,3.9,0.0,0%,
generic.email@example.com,2022-06-10,11:13,Sales,T8PIFX60C,S202324188175,Card,1,Product D,EUR,6.06,6.06,0.0,0%,
generic.email@example.com,2022-06-10,11:27,Sales,TG6WL52LT,S202333342019,Card,1,Product A,EUR,0.79,0.79,0.0,0%,
generic.email@example.com,2022-06-10,12:10,Sales,T0PBIWE4D,S202381413933,Cash,1,Product B,EUR,5.67,5.67,0.0,0%,
generic.email@example.com,2022-06-10,12:12,Sales,T3889W39S,S202370011270,Cash,3,Product C,EUR,2.59,2.59,0.0,0%,
generic.email@example.com,2022-06-10,14:55,Sales,TD3H6RT6Q,S202398540531,Card,1,Product B,EUR,2.88,2.88,0.0,0%,
generic.email@example.com,2022-06-10,15:43,Sales,TODH21Y89,S202383456229,Mobile,2,Product D,EUR,6.04,6.04,0.0,0%,
generic.email@example.com,2022-06-10,16:12,Sales,TIN485688,S202313651422,Cash,3,Product C,EUR,5.94,5.94,0.0,0%,
generic.email@example.com,2022-06-10,16:23,Sales,T082OITYC,S202377252875,Mobile,2,Product A,EUR,5.58,5.58,0.0,0%,
generic.email@example.com,2022-06-10,16:35,Sales,TRLKMT139,S202371326798,Cash,2,Product A,EUR,6.82,6.82,0.0,0%,
generic.email@example.com,2022-06-10,16:54,Sales,TNHO475UP,S202302098006,Mobile,1,Product B,EUR,1.52,1.52,0.0,0%,
generic.email@example.com,2022-06-10,17:12,Sales,TS2WV9GY4,S202326767802,Mobile,3,Product B,EUR,8.58,8.58,0.0,0%,
generic.email@example.com,2022-06-10,17:22,Sales,T15STLNAH,S202309710108,Cash,1,Product D,EUR,7.97,7.97,0.0,0%,
generic.email@example.com,2022-06-10,17:59,Sales,TIW1R0AKT,S202344957351,Cash,1,Product C,EUR,9.54,9.54,0.0,0%,
generic.email@example.com,2022-06-10,18:21,Sales,TXMPLP8UH,S202357557780,Card,2,Product A,EUR,9.21,9.21,0.0,0%,
generic.email@example.com,2022-06-11,14:15,Sales,T9P6JO5W5,S202313503267,Card,2,Product D,EUR,4.57,4.57,0.0,0%,
